PARLAMENTAR;PARTIDO;ESTADO;POSI플O_BLOCO;ESPECTRO;REGI홒;SEXO;SENIORIDADE;VOTO
ALEXANDRE PADILHA;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;SIM
ALEXIS FONTEYNE;NOVO;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
ARLINDO CHINAGLIA;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;SIM
ARNALDO JARDIM;CIDADANIA;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;NAO
BALEIA ROSSI;MDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;SIM
BRUNA FURLAN;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;FEMININO;REELEITO;ABSTENCAO
CAPITAO AUGUSTO;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
CARLA ZAMBELLI;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;ABSTENCAO
CARLOS SAMPAIO;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;NAO
CARLOS ZARATTINI;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;SIM
CELSO RUSSOMANNO;REPUBLICAN;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
CEZINHA DE MADUREIRA;PSD;SAO PAULO;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;SIM
CORONEL TADEU;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
DAVID SOARES;DEM;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;ABSTENCAO
EDUARDO BOLSONARO;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;NAO
EDUARDO CURY;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;NAO
ENRICO MISASI;PV;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;NAO
FAUSTO PINATO;PP;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;SIM
GENERAL PETERNELLI;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
GENINHO ZULIANI;DEM;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;RETORNO;SIM
GILBERTO NASCIMENTO;PSC;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
GUIGA PEIXOTO;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
GUILHERME DERRITE;PP;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
GUILHERME MUSSI;PP;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;SIM
HERCULANO PASSOS;MDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;SIM
IVAN VALENTE;PSOL;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;NAO
JOICE HASSELMANN;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;NAO
JUNIOR BOZZELLA;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
KIM KATAGUIRI;DEM;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
LUIZ CARLOS MOTTA;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;SIM
LUIZ FLAVIO GOMES;PSB;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;ABSTENCAO
LUIZ LAURO FILHO;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;NOVATO;ABSTENCAO
LUIZ PHILIPPE DE ORLEANS E BRAG;PSL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
LUIZA ERUNDINA;PSOL;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;FEMININO;REELEITO;NAO
MARCIO ALVINO;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;SIM
MARCO BERTAIOLLI;PSD;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;SIM
MARCOS PEREIRA;Republican;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;SIM
MARIA ROSAS;Republican;SAO PAULO;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;SIM
MIGUEL HADDAD;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;NAO
MIGUEL LOMBARDI;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
MILTON VIEIRA;Republican;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;SIM
NILTO TATTO;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
ORLANDO SILVA;PCdoB;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;SIM
PAULO FREIRE COSTA;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;NAO
PAULO PEREIRA DA SILVA;Solidaried;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;SIM
PAULO TEIXEIRA;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;SIM
POLICIAL KATIA SASTRE;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;SIM
PR. MARCO FELICIANO;Podemos;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;NAO
RENATA ABREU;Podemos;SAO PAULO;GOVERNO;DIREITA;SUDESTE;FEMININO;REELEITO;NAO
RICARDO IZAR;PP;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
ROBERTO ALVES;Republican;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;SIM
ROBERTO DE LUCENA;Podemos;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;NAO
RODRIGO AGOSTINHO;PSB;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;NAO
ROSANA VALLE;PSB;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;FEMININO;NOVATO;NAO
RUI FALCAO;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;SIM
SAMIA BOMFIM;PSOL;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;FEMININO;NOVATO;NAO
SAMUEL MOREIRA;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;NAO
TABATA AMARAL;PDT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;FEMININO;NOVATO;NAO
TIRIRICA;PL;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
VANDERLEI MACRIS;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;NAO
VICENTINHO;PT;SAO PAULO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;SIM
VINICIUS CARVALHO;REPUBLICAN;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
VINICIUS POIT;NOVO;SAO PAULO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
VITOR LIPPI;PSDB;SAO PAULO;GOVERNO;CENTRO;SUDESTE;MASCULINO;REELEITO;NAO
BOSCO COSTA;PL;SERGIPE;GOVERNO;DIREITA;NORDESTE;MASCULINO;RETORNO;SIM
FABIO HENRIQUE;PDT;SERGIPE;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
FABIO MITIDIERI;PSD;SERGIPE;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
FABIO REIS;MDB;SERGIPE;GOVERNO;CENTRO;NORDESTE;MASCULINO;REELEITO;SIM
GUSTINHO RIBEIRO;Solidaried;SERGIPE;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;SIM
JOAO DANIEL;PT;SERGIPE;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
LAERCIO OLIVEIRA;PP;SERGIPE;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
VALDEVAN NOVENTA;PSC;SERGIPE;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
CARLOS HENRIQUE GAGUIM;DEM;TOCANTINS;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;SIM
CELIO MOURA;PT;TOCANTINS;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;SIM
DULCE MIRANDA;MDB;TOCANTINS;GOVERNO;CENTRO;NORTE;FEMININO;REELEITO;SIM
ELI BORGES;Solidaried;TOCANTINS;GOVERNO;CENTRO;NORTE;MASCULINO;NOVATO;SIM
OSIRES DAMASO;PSC;TOCANTINS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;SIM
PROFESSORA DORINHA SEABRA REZEN;DEM;TOCANTINS;GOVERNO;DIREITA;NORTE;FEMININO;REELEITO;SIM
TIAGO DIMAS;Solidaried;TOCANTINS;GOVERNO;CENTRO;NORTE;MASCULINO;NOVATO;SIM
VICENTINHO JUNIOR;PL;TOCANTINS;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;SIM
